"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp"
"1",26.1,12.4,2.7,8.5,-6.5,1.4,-137.6,2.8,0,0,22.1,27.7,12
"2",32.4,17.4,7.5,31,-4.6,1.8,-118.3,3.6,1.6,0,43.3,31.9,15.4
"3",35.9,20.1,9,36.8,-3.9,2.5,-103.2,3.9,16.2,0,82.6,34.2,17.7
"4",35.7,22.5,10.3,39.6,-3.9,2.5,-106.9,4.4,26.9,1.7,71.4,34.1,17.4
"5",37.8,28,13.8,47.8,-3.2,2.9,-96.6,4.6,56.7,1.9,91.7,36.3,19.2
"6",47.8,38.8,17.9,73.1,-1.2,4.3,-76.3,9.6,77.9,15.4,100,40.9,21.2
"7",28.8,12.8,6.4,11.9,-5.8,2.3,-142.4,2.3,3.4,0,3.6,28.2,12.7
"8",35.1,17,8.8,23.8,-4.3,3.4,-101.9,2.8,32.9,0,17.9,32,15.3
"9",38.2,21.5,11.9,31.4,-3.7,4.5,-88.4,3,53.8,0,46,34.5,17.9
"10",38.5,24.7,12.4,32,-3.7,4.7,-90,3,55.7,0.4,43.9,34.4,17.7
"11",40.2,32.1,15.6,39.5,-2.9,5.7,-75.9,3.3,82.1,0.2,66,36.7,19.6
"12",51.1,43.4,19.6,59.8,-1.2,9,-56.8,3.7,96.4,5.6,96.5,41.6,21.9
"13",25.8,12.2,2.4,7.3,-6.5,1.3,-145.3,2.7,0,0,19.4,27.9,11.8
"14",32.3,16.8,7.1,28.2,-4.5,1.8,-120.5,3.6,1.9,0,44.6,32.1,15.2
"15",35.8,19.9,8.8,38,-3.9,2.6,-101.9,3.9,17,0,81.9,34.5,17.6
"16",35.7,22.5,10.2,39.6,-3.9,2.5,-106.5,4.4,27.1,1.8,71.1,34.4,17.2
"17",37.8,28.9,14.3,50.2,-3.2,3,-92.8,4.6,55.4,2.1,91.1,36.5,19.1
"18",47.8,39,18.3,73.7,-1.1,4.3,-75.5,9.6,80.6,15.9,100,40.9,21.1
"19",28.7,12,5.6,10.4,-5.8,1.3,-150.2,2.2,3.5,0,3.4,28.5,12.4
"20",34.8,16.6,8.9,24.1,-4.3,2.1,-105.7,2.8,35.1,0,18.5,32.3,15.2
"21",38.2,21.1,12.2,36,-3.7,3.2,-91,3.1,54,0,45.7,34.8,17.8
"22",38.4,25,12.6,34.9,-3.6,3.1,-91.3,3,56.1,0.5,43.5,34.7,17.5
"23",40.3,33.7,16.4,43.8,-3.1,3.9,-74.8,3.3,81.5,0.3,64.6,37,19.5
"24",51,43.9,20.2,63.7,-1.1,5.7,-52.6,3.8,96.6,6.2,96.3,41.8,21.7
"25",25.8,11.7,3.9,10.1,-6.5,1.5,-147.5,2.8,0,0,20.2,27.3,11.6
"26",32.3,17.4,7.9,32.2,-4.5,1.9,-115.3,3.6,2,0,42.4,31.6,15
"27",35.9,20,9.8,37.6,-3.9,2.5,-105.4,3.9,17.1,0.1,81.8,34.3,17.6
"28",35.7,22.7,10.3,40.3,-3.9,2.5,-107.7,4.4,27.1,1.8,71.1,34,17.2
"29",37.7,28.6,12.1,47.4,-3.2,2.9,-97.8,4.6,57.6,2.1,90.5,36.3,19.1
"30",47.7,38.9,18.4,73.8,-1.2,4.4,-76.9,9.6,79.8,16.3,100,41.5,21.5
"31",28.7,13.4,7.2,13.1,-5.7,2.5,-145.9,2.3,3.6,0,3.1,27.8,12.1
"32",35,17,9.1,24.1,-4.4,3.5,-100.6,2.8,33.7,0,17.4,31.8,15.5
"33",38.2,20.9,11.6,30.4,-3.7,4.4,-87,3,53.1,0,46.6,34.5,18.1
"34",38.5,25.1,12,32.3,-3.6,4.7,-90.4,3,55.6,0.5,43.9,34.3,17.6
"35",40.2,33.8,13.8,38.8,-3,5.8,-76.6,3.2,82.6,0.3,63.6,36.7,19.6
"36",51.1,44.4,20.1,60.3,-1.2,9.1,-58.7,3.7,96.9,6.6,96.4,42.5,22.4
"37",25.6,11.4,3.6,8.5,-6.5,1.4,-150.7,2.7,0,0,17.9,27.6,11.5
"38",32.1,16.9,7.7,29.5,-4.5,1.9,-116.9,3.6,2.3,0,44.2,31.9,14.4
"39",35.8,19.8,9.7,38.4,-3.9,2.5,-103.8,3.9,17,0.1,81.2,34.5,17.6
"40",35.7,22.7,10.2,40.3,-3.9,2.5,-107.2,4.4,27.3,1.9,70.9,34.3,17.1
"41",37.8,29.4,12.1,49.8,-3.2,3,-94.1,4.6,55.8,2.2,90.8,36.6,19
"42",47.7,39.1,18.5,74.6,-1.1,4.4,-76,9.6,82.1,16.5,99.9,41.5,21.3
"43",28.5,12.8,6.8,11.6,-5.6,1.4,-153.9,2.2,4,0,3.1,28.1,12
"44",34.7,16.6,9.1,24.9,-4.3,2.2,-105.2,2.8,35.7,0,17.9,32,14.6
"45",38.1,20.8,11.8,35.8,-3.7,3.2,-88.2,3.1,53.7,0,46,34.7,17.9
"46",38.4,25.4,12.2,35.2,-3.6,3.1,-91.6,3,56,0.6,43.5,34.6,17.4
"47",40.2,34.6,14.2,44.1,-3,3.9,-76.8,3.3,82.1,0.4,63.2,37,19.6
"48",51,44.8,20.3,64.3,-1.1,5.8,-53.7,3.8,96.9,6.9,95.9,42.7,22.2
"49",25.3,5.6,2.1,-0.5,-7.4,1,-172,2.6,0,0,16.7,27.3,11.4
"50",31.8,12.8,6.4,23.2,-5,1.7,-133.8,3.5,3.6,0,43.5,32.2,14.4
"51",34.2,17.5,7.8,33.8,-4.2,2.4,-121.4,3.8,22.4,0.1,75.5,34.7,17.4
"52",34.9,19.4,8.9,35.1,-4.3,2.3,-119.1,3.8,29.7,2.1,68.2,34.6,17
"53",36.6,28.1,11.3,47.7,-3.5,2.8,-100,4.1,56.5,2.5,90.3,36.9,19.2
"54",47.5,38.8,17.9,66.3,-2.2,4,-74,4.6,83.3,17,99.9,42.3,21.7
"55",28.5,5.4,4.8,8.7,-5.6,1.1,-154.9,2.1,1.8,0,3,27.8,11.9
"56",34.6,15.3,8.4,22.5,-4.3,2.1,-106,2.7,32.9,0,21.3,32.2,14.8
"57",38.1,19.8,11.8,35.2,-3.6,3.1,-87.6,3,53.5,0,46.1,34.7,17.7
"58",38.6,23.7,11.8,34.3,-3.5,3.1,-89.7,3,54.6,0.6,44.8,34.7,17.2
"59",40.4,34.6,14.3,43.8,-2.8,3.9,-71,3.3,78.7,0.5,65.2,37.3,19.5
"60",51.3,44.8,20.3,64.6,-1,5.8,-45.6,3.8,97,6.8,97.3,42.7,22.3
"61",27.1,10.7,3.6,7.1,-6.7,2.3,-138.3,2.8,0.1,0,29.4,28.8,12.4
"62",33.1,15.4,8.1,27.7,-4.5,3.8,-105.9,4.1,1.3,0,48.8,32,15.6
"63",36.1,18.5,9.9,37.8,-3.7,4.9,-96.1,4.8,15.4,0.2,83.7,34.1,17
"64",36.1,20.8,10.8,38.4,-3.8,4.9,-97.7,5.2,24.6,1.9,73.6,34.1,17.2
"65",37.8,26.6,13.9,49.1,-3,5.8,-87.1,6.2,51.2,2.3,91.4,36.2,19.2
"66",47.8,35.5,18.4,66.8,-1.4,9.2,-70.8,8.9,70.6,14.8,99.6,40.4,21.1
"67",28.9,9.9,5.6,11,-6.5,1.4,-144,2.3,9.7,0,3.5,29.5,13.4
"68",34.9,15.2,8.7,22.7,-4.8,2.1,-109.2,2.9,36.6,0,19.6,32.5,15.6
"69",37.5,19.6,10.9,32.6,-4.3,3,-95.8,3.1,57.9,0,42,34.8,17.4
"70",38.2,21.1,11.4,31,-4.3,2.9,-95.2,3.1,57.8,0.4,41.8,35,17.6
"71",40.1,26.9,14.4,38.7,-3.7,3.5,-78.1,3.3,80.4,0.2,62.2,37.3,19.9
"72",50.9,36.1,18.7,52.2,-2.7,4.8,-56.4,3.8,96.5,5.6,88,42.8,22
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
