"arquivo_climatico","uf","municipio","lat","long","alt","populacao","zbb","tbsm","cdh","cdd10","cdd24","hdd18"
"BRA_AC_Feijo.AP.819240_INMET","AC","Feijo",-8.14,-70.34,163,32385,8,26.07582192,72833,5867.7,826.6,10
"BRA_AC_Parque.Chandless.819630_INMET","AC","Rio Branco",-9.37,-69.93,206,370550,8,24.87121005,72862,5428,408,3.4
"BRA_AC_Porto.Walter.819210_INMET","AC","Porto Walter",-8.27,-72.74,240,10759,8,26.36347032,69205,5972.7,934.7,10
"BRA_AC_Rio.Branco.829150_INMET","AC","Rio Branco",-9.96,-68.17,220,370550,8,25.116621,67634,5517.6,520.3,5
"BRA_AL_Arapiraca.AP.819960_INMET","AL","Arapiraca",-9.8,-36.62,241,231053,8,24.84299087,58779,5417.7,440.7,0
"BRA_AL_Coruripe.866190_INMET","AL","Coruripe",-10.13,-36.29,74,56631,8,25.72098174,68088,5738.2,651.2,0
"BRA_AL_Maceio.829940_INMET","AL","Maceio",-9.67,-35.74,64,1013773,8,25.52243151,65930,5665.7,587.6,0
"BRA_AL_Palmeira.dos.Indios.829920_INMET","AL","Palmeira dos Indios",-9.41,-36.63,275,73878,8,25.27921233,54251,5576.9,593.6,0
"BRA_AL_Pao.de.Acucar.819940_INMET","AL","Pao de Acucar",-9.75,-37.44,19,24878,8,27.28173516,65042,6307.8,1212.8,0
"BRA_AL_Sao.Luis.do.Quitunde.819970_INMET","AL","Sao Luis do Quitunde",-9.29,-35.57,19,34623,8,25.42211187,68296,5629.1,554.8,0
"BRA_AM_Autazes.817320_INMET","AM","Autazes",-3.58,-59.13,28,37033,8,26.50482877,79792,6024.3,914.5,0
"BRA_AM_Barcelos.AP.816480_INMET","AM","Barcelos",-0.99,-62.92,17,27433,8,26.26980594,79112,5938.5,830.2,0
"BRA_AM_Coari.817700_INMET","AM","Coari",-4.1,-63.15,43,83078,8,26.2509589,77389,5931.6,826.2,0
"BRA_AM_Humaita.AP.818900_INMET","AM","Humaita",-7.55,-63.07,72,51302,8,26.28507991,76111,5944.1,841.8,0
"BRA_AM_Itacoatiara.AP.817330_INMET","AM","Itacoatiara",-3.13,-58.48,45,97122,8,26.42942922,80229,5996.7,888.7,0
"BRA_AM_Manacapuru.817290_INMET","AM","Manacapuru",-3.29,-60.63,19,94175,8,26.70017123,78278,6095.6,985.7,0
"BRA_AM_Manaus-Gomez.Intl.AP.817300_INMET","AM","Manaus",-3.1,-60.03,67,2057711,8,27.27947489,82005,6307,1199.4,0
"BRA_AM_Maues.817340_INMET","AM","Maues",-3.4,-57.67,35,59983,8,26.5730137,82453,6049.2,940.9,0
"BRA_AM_Parintins.817030_INMET","AM","Parintins",-2.64,-56.76,35,111575,8,27.49006849,82833,6383.9,1273.9,0
"BRA_AM_Presidente.Figueiredo.816990_INMET","AM","Presidente Figueiredo",-2.06,-60.03,92,32812,8,26.64430365,76780,6075.2,966.4,0
"BRA_AM_Urucara.AP.817020_INMET","AM","Urucara",-2.53,-57.76,17,17163,8,27.46123288,81494,6373.4,1263.8,0
"BRA_AP_Macapa-Alcolumbre.Intl.AP.820980_INMET","AP","Macapa",0.04,-51.07,15,456171,8,25.77817352,73471,5759,653.3,0
"BRA_AP_Oiapoque.816090_INMET","AP","Oiapoque",3.81,-51.86,21,24263,8,25.56219178,73355,5680.2,578.6,0
"BRA_AP_Porto.Grande.816370_INMET","AP","Porto Grande",0.7,-51.41,77,19669,8,25.77817352,73471,5759,653.3,0
"BRA_AP_Tartarugalzinho.816280_INMET","AP","Tartarugalzinho",1.5,-50.92,21,15212,8,25.9922032,74244,5837.2,729.7,0
"BRA_BA_Amargosa.AP.866750_INMET","BA","Amargosa",-13.01,-39.62,407,37807,8,23.17565068,47356,4809.1,152.8,0
"BRA_BA_Barra.AP.866340_INMET","BA","Barra",-11.08,-43.14,403,54188,6,26.79222603,46498,6129.2,1025.1,0
"BRA_BA_Barreiras.866520_INMET","BA","Barreiras",-12.15,-44.99,470,153918,7,25.12493151,35780,5520.6,505.6,0
"BRA_BA_Belmonte.867440_INMET","BA","Belmonte",-16.09,-39.22,88,23759,8,23.78600457,56820,5031.9,255.9,0
"BRA_BA_Bom.Jesus.da.Lapa.AP.866720_INMET","BA","Bom Jesus da Lapa",-13.26,-43.42,440,69526,6,26.24819635,35447,5930.6,858.2,0
"BRA_BA_Brumado.866960_INMET","BA","Brumado",-14.18,-41.67,470,69255,5,25.1665411,45791,5535.8,620,0
"BRA_BA_Buritirama.AP.866090_INMET","BA","Buritirama",-10.72,-43.65,502,21549,6,25.43762557,41689,5634.7,618.7,0
"BRA_BA_Caravelas.834970_INMET","BA","Caravelas",-17.73,-39.2,3,22548,8,25.02063927,63218,5482.5,504.2,0
"BRA_BA_Conde.866390_INMET","BA","Conde",-11.81,-37.62,14,26194,8,25.9344863,68524,5816.1,726.2,0
"BRA_BA_Correntina.866710_INMET","BA","Correntina",-13.33,-44.62,549,33183,6,23.82134703,33453,5044.8,278.1,0
"BRA_BA_Cruz.das.Almas.866570_INMET","BA","Cruz das Almas",-12.67,-39.1,226,64197,8,23.92334475,52557,5082,306.6,0
"BRA_BA_Delfino.866100_INMET","BA","Umburanas",-10.46,-41.21,637,19055,5,23.84319635,33661,5052.8,231.5,0
"BRA_BA_Euclides.da.Cunha.866130_INMET","BA","Euclides da Cunha",-10.54,-39,432,60666,7,24.10829909,44806,5149.5,427.2,0
"BRA_BA_Feira.de.Santana.866580_INMET","BA","Feira de Santana",-12.27,-38.97,231,617528,8,24.59780822,54966,5328.2,488.8,0
"BRA_BA_Guanambi.AP.866940_INMET","BA","Guanambi",-14.21,-42.75,551,85797,6,25.65214612,37544,5713,685.5,0
"BRA_BA_Ibotirama.866530_INMET","BA","Ibotirama",-12.19,-43.21,430,27655,7,26.73187215,41264,6107.1,1012.8,0
"BRA_BA_Ilheus.866990_INMET","BA","Ilheus",-14.79,-39.05,78,180213,8,23.44860731,56055,4908.7,162.4,0
"BRA_BA_Ipiau.866980_INMET","BA","Ipiau",-14.14,-39.73,135,47501,8,24.56248858,58798,5315.3,385.8,0
"BRA_BA_Irece.AP.866350_INMET","BA","Irece",-11.33,-41.86,755,73380,6,23.94525114,33347,5090,251.2,0
"BRA_BA_Itaberaba.832440_INMET","BA","Itaberaba",-12.53,-40.31,250,66310,8,24.92978311,53082,5449.4,506.2,0
"BRA_BA_Itapetinga.867230_INMET","BA","Itapetinga",-15.24,-40.24,279,76184,5,24.67423516,51100,5356.1,481.6,0
"BRA_BA_Itirucu.866740_INMET","BA","Itirucu",-13.53,-40.15,756,13307,5,21.06037671,31222,4037,9.4,34.6
"BRA_BA_Jacobina.866360_INMET","BA","Jacobina",-11.21,-40.47,453,84811,8,24.36237443,44016,5242.3,357.7,0
"BRA_BA_Lencois.866540_INMET","BA","Lencois",-12.56,-41.39,439,11445,8,24.85493151,45351,5422.1,480.2,0
"BRA_BA_Macajuba.866550_INMET","BA","Macajuba",-12.14,-40.36,380,11837,8,24.05605023,45988,5130.5,329.3,0
"BRA_BA_Marau.866770_INMET","BA","Marau",-13.91,-38.97,10,21175,8,25.67393836,68777,5721,651,0
"BRA_BA_Paulo.Afonso.829860_INMET","BA","Paulo Afonso",-9.41,-38.22,253,119214,7,26.32472603,49250,5958.5,926.2,0
"BRA_BA_Piata.866730_INMET","BA","Piata",-13.16,-41.77,1290,18473,5,19.79696347,12890,3575.9,0,71.1
"BRA_BA_Porto.Seguro.867450_INMET","BA","Porto Seguro",-16.39,-39.18,85,145431,8,23.74295662,59953,5016.2,236.5,0
"BRA_BA_Queimadas.866120_INMET","BA","Queimadas",-10.98,-39.62,315,26083,8,26.1327968,49333,5888.5,855.8,0
"BRA_BA_Remanso.829790_INMET","BA","Remanso",-9.62,-42.08,401,42275,7,26.81585616,52957,6137.8,1032.9,0
"BRA_BA_Salvador.866780_INMET","BA","Salvador",-12.97,-38.51,51,2921087,8,25.86309361,67930,5790,695.6,0
"BRA_BA_Santa.Rita.de.Cassia.866330_INMET","BA","Santa Rita de Cassia",-11.01,-44.52,450,28822,6,26.05268265,41536,5859.2,788.2,0
"BRA_BA_Senhor.do.Bonfim.830880_INMET","BA","Senhor do Bonfim",-10.44,-40.15,548,81330,7,23.85422374,38481,5056.8,330.9,0
"BRA_BA_Serrinha.866370_INMET","BA","Serrinha",-11.66,-39.02,339,83275,8,24.14803653,48810,5164,421.5,0
"BRA_BA_Uaua.819920_INMET","BA","Uaua",-9.83,-39.5,453,25087,6,25.40560502,44252,5623,638,0
"BRA_BA_Una.867240_INMET","BA","Una",-15.28,-39.09,82,22105,8,24.15445205,61888,5166.4,273.7,0
"BRA_BA_Valenca.866760_INMET","BA","Valenca",-13.37,-39.07,39,97305,8,24.20535388,61466,5185,276.9,0
"BRA_BA_Vitoria.da.Conquista-Figueiredo.AP.866970_INMET","BA","Vitoria da Conquista",-14.87,-40.84,870,343230,5,20.59972603,25245,3868.9,3.9,39.1
"BRA_CE_Acarau.817550_INMET","CE","Acarau",-3.12,-40.09,76,61210,8,26.60207763,72063,6059.8,951.1,0
"BRA_CE_Barbalha.819110_INMET","CE","Barbalha",-7.3,-39.27,409,58855,7,25.59280822,49823,5691.4,607,0
"BRA_CE_Campos.Sales.827770_INMET","CE","Campos Sales",-7.08,-40.36,572,27123,7,24.86718037,41522,5426.5,465.4,0
"BRA_CE_Crateus.818300_INMET","CE","Crateus",-5.19,-40.67,291,74271,7,27.09111872,55793,6238.3,1129.4,0
"BRA_CE_Fortaleza-Pinto.Martins.Intl.AP.817580_INMET","CE","Fortaleza",-3.8,-38.53,41,2591188,8,26.6534589,71394,6078.5,970.5,0
"BRA_CE_Guaramiranga.824870_INMET","CE","Guaramiranga",-4.26,-38.93,38,3720,5,20.68920091,37100,3901.6,0,0
"BRA_CE_Iguatu.818730_INMET","CE","Iguatu",-6.36,-39.3,233,101386,7,27.01376712,55516,6210,1101.9,0
"BRA_CE_Itapipoca.817560_INMET","CE","Itapipoca",-3.48,-39.59,102,124950,8,26.89288813,69216,6165.9,1056.9,0
"BRA_CE_Jaguaribe.818330_INMET","CE","Jaguaribe",-5.91,-38.63,184,34561,7,27.7834589,63710,6491,1382.3,0
"BRA_CE_Jaguaruana.824930_INMET","CE","Jaguaruana",-4.79,-37.78,12,33469,8,27.24494292,67485,6294.4,1184.4,0
"BRA_CE_Morada.Nova.825940_INMET","CE","Morada Nova",-5.11,-38.37,44,61903,7,27.1401484,66326,6256.2,1146.6,0
"BRA_CE_Quixeramobim.825860_INMET","CE","Quixeramobim",-5.2,-39.29,80,77174,7,26.43517123,59523,5998.8,895.9,0
"BRA_CE_Taua.818720_INMET","CE","Taua",-6.02,-40.28,415,57701,7,26.19417808,44330,5910.9,833.1,0
"BRA_DF_Brasilia.867150_INMET","DF","Brasilia",-15.78,-47.93,1160,2914830,4,21.08148402,16624,4044.7,9.3,3.7
"BRA_DF_Planaltina.867160_INMET","DF","Planaltina",-15.53,-47.56,1200,164939,4,20.95384703,23361,3998.2,2.9,8.1
"BRA_ES_Alegre.868280_INMET","ES","Alegre",-20.76,-41.53,138,32205,5,23.95135845,43921,5092.2,417,5.2
"BRA_ES_Alfredo.Chaves.868290_INMET","ES","Alfredo Chaves",-20.64,-40.75,35,14973,8,23.58060502,47324,4956.9,314.7,1.1
"BRA_ES_Linhares.868050_INMET","ES","Linhares",-19.39,-40.07,40,163662,8,24.27697489,54958,5211.1,415.9,0
"BRA_ES_Nova.Venecia.867850_INMET","ES","Nova Venecia",-18.7,-40.39,154,50294,8,24.2559589,52289,5203.4,395.8,0
"BRA_ES_Presidente.Kennedy.868530_INMET","ES","Presidente Kennedy",-21.1,-41.04,80,11309,8,23.96765982,52283,5098.2,375.2,0
"BRA_ES_Santa.Teresa.868040_INMET","ES","Santa Teresa",-19.99,-40.58,998,23735,8,18.58151826,21458,3132.3,0,263.7
"BRA_ES_Sao.Mateus.867860_INMET","ES","Sao Mateus",-18.72,-39.86,39,124575,8,23.864121,54837,5060.4,349.5,0
"BRA_ES_Vitoria.868300_INMET","ES","Vitoria",-20.32,-40.34,9,355875,8,24.39726027,54061,5255,462.4,0
"BRA_GO_Alto.Paraiso.de.Goias.866910_INMET","GO","Alto Paraiso de Goias",-14.13,-47.51,1260,7391,6,20.5861758,17064,3864,10.1,15.9
"BRA_GO_Aragarcas.833740_INMET","GO","Aragarcas",-15.9,-52.25,347,19583,6,25.79366438,53747,5764.7,710.5,0
"BRA_GO_Caiaponia.867300_INMET","GO","Caiaponia",-16.96,-51.81,737,18148,6,23.25442922,30910,4837.9,158.6,0
"BRA_GO_Catalao.867770_INMET","GO","Catalao",-18.16,-47.93,890,98737,6,22.50558219,24270,4564.5,123,3.3
"BRA_GO_Cristalina.867370_INMET","GO","Cristalina",-16.79,-47.61,1202,53300,4,20.72353881,19916,3914.1,8.6,32
"BRA_GO_Goianesia.867130_INMET","GO","Goianesia",-15.32,-49.12,667,65767,6,24.53503425,32696,5305.3,351.7,0
"BRA_GO_Goiania.834230_INMET","GO","Goiania",-15.37,-48.78,770,1430697,6,23.22976027,31081,4828.9,174.6,5.4
"BRA_GO_Goias.867120_INMET","GO","Goias",-15.93,-50.14,512,24439,7,24.98077626,47668,5468,449.3,0
"BRA_GO_Itapaci.866890_INMET","GO","Itapaci",-14.95,-49.55,522,20945,6,23.90124429,38962,5074,278.1,0
"BRA_GO_Itumbiara.867740_INMET","GO","Itumbiara",-18.41,-49.19,488,100548,6,23.91726027,44156,5079.8,271.8,10
"BRA_GO_Jatai.867520_INMET","GO","Jatai",-17.88,-51.71,582,95998,6,22.41531963,32342,4531.6,98.5,11.7
"BRA_GO_Luziania.867360_INMET","GO","Luziania",-16.25,-47.95,958,194039,4,21.98347032,27017,4374,38.3,5.3
"BRA_GO_Mineiros.867510_INMET","GO","Mineiros",-17.57,-52.6,706,60464,6,22.37296804,37162,4516.1,69.9,25
"BRA_GO_Monte.Alegre.de.Goias.866700_INMET","GO","Monte Alegre de Goias",-13.5,-46.89,1253,8319,7,24.96426941,43252,5462,457,0
"BRA_GO_Morrinhos.867550_INMET","GO","Morrinhos",-17.73,-49.1,771,44607,6,22.37742009,28617,4517.8,60.9,14.4
"BRA_GO_Niquelandia.866900_INMET","GO","Niquelandia",-14.47,-48.46,583,45243,6,24.31003425,33984,5223.2,290.4,0
"BRA_GO_Parauna.867320_INMET","GO","Parauna",-16.96,-50.43,678,11199,6,23.99745434,33273,5109.1,303.9,0.4
"BRA_GO_Pires.do.Rio.867560_INMET","GO","Pires do Rio",-17.31,-48.28,752,30703,4,22.94133562,33998,4723.6,115.1,5.4
"BRA_GO_Posse.866920_INMET","GO","Posse",-14.09,-46.37,834,34663,6,24.43759132,31844,5269.7,335.3,0
"BRA_GO_Rio.Verde.867530_INMET","GO","Rio Verde",-17.8,-50.93,782,207296,6,22.80247717,28895,4672.9,126.6,6.2
"BRA_GO_Sao.Simao.867730_INMET","GO","Sao Simao",-18.99,-50.54,489,19110,6,23.98585616,42669,5104.8,300,27.1
"BRA_MA_Alto.Parnaiba.829700_INMET","MA","Alto Parnaiba",-9.11,-45.93,281,10956,7,25.74573059,57902,5747.2,657.7,0
"BRA_MA_Bacabal.817900_INMET","MA","Bacabal",-4.24,-44.8,28,102656,8,27.27794521,73510,6306.5,1196.6,0
"BRA_MA_Balsas.819030_INMET","MA","Balsas",-7.46,-46.03,254,92144,7,25.94791096,60586,5821,725.1,0
"BRA_MA_Barra.do.Corda.818250_INMET","MA","Barra do Corda",-5.51,-45.24,153,86151,7,26.28393836,66268,5943.6,837.7,0
"BRA_MA_Buriticupu.817880_INMET","MA","Buriticupu",-4.32,-46.45,175,70417,8,26.19716895,64695,5912,804.6,0
"BRA_MA_Carolina.819010_INMET","MA","Carolina",-7.34,-47.46,192,23866,7,26.57884703,65965,6051.3,947.1,0
"BRA_MA_Caxias.817920_INMET","MA","Caxias",-4.82,-43.34,76,161137,7,26.37559361,67962,5977.1,867.7,0
"BRA_MA_Chapadinha.817490_INMET","MA","Chapadinha",-3.74,-43.35,91,77684,8,26.89509132,69955,6166.7,1058.1,0
"BRA_MA_Colinas.818660_INMET","MA","Colinas",-6.03,-44.23,179,40268,7,26.05405251,63875,5859.7,755.5,0
"BRA_MA_Estreito.818630_INMET","MA","Estreito",-6.65,-47.42,180,40629,7,25.84028539,62325,5781.7,685.9,0
"BRA_MA_Farol.Preguicas.817170_INMET","MA","Barreirinhas",-2.59,-42.71,0,12776,8,27.49762557,81337,6386.6,1276.6,0
"BRA_MA_Farol.Santana.822770_INMET","MA","Humberto de Campos",-2.27,-43.62,0,26197,8,27.35783105,80182,6335.6,1225.6,0
"BRA_MA_Grajau.818230_INMET","MA","Grajau",-5.82,-46.16,230,67626,7,26.1277968,63545,5886.6,784.8,0
"BRA_MA_Imperatriz.818220_INMET","MA","Imperatriz",-5.56,-47.46,126,253123,7,26.88878995,68889,6164.4,1055.6,0
"BRA_MA_Sao.Luis.817150_INMET","MA","Sao Luis",-2.53,-44.3,56,1073893,8,26.75603881,80130,6116,1006.1,0
"BRA_MA_Turiacu.821980_INMET","MA","Turiacu",-1.66,-45.37,41,34826,8,26.52660959,77929,6032.2,923.1,0
"BRA_MG_Aguas.Vermelhas.867220_INMET","MG","Aguas Vermelhas",-15.75,-41.46,740,13447,5,21.3909589,26508,4157.7,19.3,25.5
"BRA_MG_Aimores.868030_INMET","MG","Aimores",-19.5,-41.06,84,25694,5,24.66678082,49381,5353.4,500.6,0
"BRA_MG_Almenara.867430_INMET","MG","Almenara",-16.18,-40.69,208,41296,5,25.21611872,50674,5553.9,632.6,0
"BRA_MG_Araxa.867960_INMET","MG","Araxa",-19.59,-46.94,1020,102238,3,21.40135845,17608,4161.5,55.6,28.9
"BRA_MG_Belo.Horizonte-Pampulha.AP.868000_INMET","MG","Belo Horizonte",-19.82,-43.96,869,2502557,3,21.75207763,23883,4289.5,49.3,21.5
"BRA_MG_Buritis.867180_INMET","MG","Buritis",-15.62,-46.42,894,24351,6,22.2758105,29737,4480.7,65.2,3.5
"BRA_MG_Caldas.868460_INMET","MG","Caldas",-21.92,-46.39,1150,14396,3,17.86543379,14708,2873.4,0,508.8
"BRA_MG_Capelinha.867610_INMET","MG","Capelinha",-17.69,-42.52,932,37330,3,20.08090183,22170,3679.5,1.2,79.3
"BRA_MG_Carangola.868230_INMET","MG","Carangola",-20.73,-42.02,399,33463,2,22.02909817,30733,4390.6,171.8,64.5
"BRA_MG_Caratinga.835920_INMET","MG","Caratinga",-19.79,-42.14,615,90782,3,21.76799087,32888,4295.3,48.7,17.7
"BRA_MG_Chapada.Gaucha.867190_INMET","MG","Chapada Gaucha",-15.31,-45.62,880,12495,6,22.70187215,29456,4636.2,117.5,1.4
"BRA_MG_Conceicao.das.Alagoas.867940_INMET","MG","Conceicao das Alagoas",-19.99,-48.15,568,26018,6,22.77310502,31877,4662.2,184.1,15.5
"BRA_MG_Curvelo.867800_INMET","MG","Curvelo",-18.76,-44.43,670,78900,3,22.84289954,33384,4687.7,161.7,5.2
"BRA_MG_Diamantina.AP.867810_INMET","MG","Diamantina",-18.23,-43.65,1356,47952,3,18.62115297,12114,3146.7,1,226.5
