"arquivo_climatico","uf","municipio","lat","long","alt","populacao","zbb","tbsm","cdh","cdd10","cdd24","hdd18"
"BRA_MG_Dores.do.Indaia.867970_INMET","MG","Dores do Indaia",-19.46,-45.6,722,13983,3,21.98504566,25960,4374.5,92.7,12.4
"BRA_MG_Espinosa.866950_INMET","MG","Espinosa",-14.92,-42.8,570,32151,6,25.0175,34827,5481.4,512.5,0
"BRA_MG_Florestal.867980_INMET","MG","Florestal",-19.89,-44.42,742,7209,2,20.19533105,21108,3721.3,16.4,183.4
"BRA_MG_Formiga.868200_INMET","MG","Formiga",-20.46,-45.45,878,68040,2,20.92432648,21121,3987.4,37.6,57.3
"BRA_MG_Governador.Valadares.835430_INMET","MG","Governador Valadares",-18.85,-41.95,263,278363,5,24.03278539,46591,5122,374.2,0
"BRA_MG_Guarda-Mor.867570_INMET","MG","Guarda-Mor",-17.77,-47.1,616,6738,2,21.13195205,25925,4063.2,10.7,26.2
"BRA_MG_Ibirite.868210_INMET","MG","Ibirite",-20.03,-44.01,1208,173873,2,19.95296804,16378,3632.8,0.5,76.6
"BRA_MG_Itaobim.867420_INMET","MG","Itaobim",-16.34,-41.29,266,21564,5,25.21686073,43853,5554.2,616.8,0
"BRA_MG_Ituiutaba.867750_INMET","MG","Ituiutaba",-18.97,-49.47,560,103333,6,23.26393836,35105,4841.3,207.7,3.8
"BRA_MG_Joao.Pinheiro.AP.867580_INMET","MG","Joao Pinheiro",-17.78,-46.12,870,48179,6,22.44853881,27340,4543.7,91.3,7.4
"BRA_MG_Juiz.de.Fora.836920_INMET","MG","Juiz de Fora",-21.76,-43.35,950,555284,3,18.59695205,16532,3137.9,1.8,306.2
"BRA_MG_Mantena.867840_INMET","MG","Mantena",-18.78,-40.98,214,28061,5,24.25599315,46955,5203.4,433,0
"BRA_MG_Maria.da.Fe.830150_INMET","MG","Maria da Fe",-22.31,-45.38,1276,14518,2,16.25302511,8046,2285.3,0,777.3
"BRA_MG_Mocambinho.867200_INMET","MG","Muzambinho",-15.09,-44.02,460,20432,3,24.8360274,42080,5415.2,481.5,0
"BRA_MG_Montalvania.866930_INMET","MG","Montalvania",-14.42,-44.37,512,15779,6,23.72989726,38440,5011.4,265.6,0
"BRA_MG_Monte.Verde.AP.868700_INMET","MG","Camanducaia",-22.86,-46.03,1500,21080,1,15.27776256,4058,1940,0,1045.7
"BRA_MG_Montes.Claros.867400_INMET","MG","Montes Claros",-16.74,-43.86,646,394350,6,23.66982877,28498,4989.5,279.2,0
"BRA_MG_Muriae.868520_INMET","MG","Muriae",-21.13,-42.37,297,107263,3,23.24676941,45618,4835.1,276.6,4.2
"BRA_MG_Ouro.Branco.868230_INMET","MG","Ouro Branco",-20.52,-43.69,1061,38249,3,19.67384703,20447,3531,0.8,142.1
"BRA_MG_Passa.Quatro.837370_INMET","MG","Passa Quatro",-22.39,-44.97,1040,16353,2,18.2877968,13760,3025,0,360
"BRA_MG_Passos.868190_INMET","MG","Passos",-20.75,-46.63,875,113122,4,20.67110731,23529,3895,25.1,78.5
"BRA_MG_Patrocinio.867780_INMET","MG","Patrocinio",-18.94,-46.99,976,88648,4,20.32144977,18790,3767.3,20,67.7
"BRA_MG_Pirapora.AP.867590_INMET","MG","Pirapora",-17.34,-44.94,489,56229,4,23.72343607,39040,5009.1,267.2,0.8
"BRA_MG_Rio.Pardo.de.Minas.867210_INMET","MG","Rio Pardo de Minas",-15.72,-42.44,853,30732,5,21.57821918,27296,4226.1,30.8,12.1
"BRA_MG_Sacramento.867950_INMET","MG","Sacramento",-19.86,-47.44,912,25630,3,21.79762557,21815,4306.1,51.6,39.7
"BRA_MG_Salinas.867410_INMET","MG","Salinas",-16.17,-42.29,495,41301,3,23.27094749,36226,4843.9,213.8,2.1
"BRA_MG_Sao.Joao.del.Rei.836880_INMET","MG","Sao Joao del Rei",-21.14,-44.26,991,89378,2,19.35915525,19233,3416.1,1,229.4
"BRA_MG_Sao.Romao.867390_INMET","MG","Sao Romao",-16.37,-45.07,460,11553,6,24.02018265,46261,5117.4,376,0.2
"BRA_MG_Serra.dos.Aimores.867630_INMET","MG","Serra dos Aimores",-17.78,-40.25,208,8767,5,23.25797945,47481,4839.2,230.8,2
"BRA_MG_Teofilo.Otoni.867620_INMET","MG","Teofilo Otoni",-17.86,-41.51,475,141046,5,22.38800228,37296,4521.6,126.2,13.1
"BRA_MG_Timoteo.868010_INMET","MG","Timoteo",-19.58,-42.64,333,87542,3,22.83237443,35093,4683.8,144.6,0.1
"BRA_MG_Tres.Marias.867790_INMET","MG","Tres Marias",-18.21,-45.24,921,31028,4,21.96792237,27752,4368.3,60.4,15.1
"BRA_MG_Uberlandia.867760_INMET","MG","Uberlandia",-18.92,-48.28,869,662362,4,22.9453653,22591,4725.1,154.1,17.6
"BRA_MG_Unai.AP.834280_INMET","MG","Unai",-16.36,-46.91,631,82887,6,23.4338242,37049,4903.3,190.4,1.8
"BRA_MG_Varginha.868480_INMET","MG","Varginha",-21.55,-45.43,955,132353,2,19.55253425,16253,3486.7,6.7,165.9
"BRA_MG_Vicosa.836420_INMET","MG","Vicosa",-20.75,-42.88,712,77318,3,19.99050228,23415,3646.5,2,140.8
"BRA_MS_Amambai.868940_INMET","MS","Amambai",-23,-55.33,431,37590,3,21.93819635,31185,4357.9,211.8,166.7
"BRA_MS_Campo.Grande.Intl.AP.868100_INMET","MS","Campo Grande",-20.44,-54.65,530,853622,6,23.44772831,33024,4908.4,310.3,51.3
"BRA_MS_Chapadao.do.Sul.867720_INMET","MS","Chapadao do Sul",-18.79,-52.62,818,22620,6,22.39607306,29704,4524.6,87.5,39.8
"BRA_MS_Corumba.Intl.AP.835520_INMET","MS","Corumba",-19.01,-57.65,126,108656,8,25.90272831,54206,5804.5,1087.4,63
"BRA_MS_Coxim.867700_INMET","MS","Coxim",-18.3,-54.44,252,33139,6,24.71479452,50777,5370.9,560.2,9.4
"BRA_MS_Dourados.836590_INMET","MS","Dourados",-22.22,-54.81,469,212870,3,22.68562785,32237,4630.4,289.2,107.2
"BRA_MS_Ivinhema.868600_INMET","MS","Ivinhema",-22.31,-53.81,373,22928,5,23.6878653,36771,4996.1,461.7,76.6
"BRA_MS_Juti.868590_INMET","MS","Juti",-22.86,-54.61,379,6399,3,22.88667808,37998,4706.6,389.5,163.3
"BRA_MS_Miranda.868070_INMET","MS","Miranda",-20.24,-56.38,140,27104,5,24.61140411,46319,5333.2,706.5,68.9
"BRA_MS_Nhumirim.867680_INMET","MS","Nhecolandia",-18.99,-56.62,104,1605,5,24.88297945,54749,5432.3,691.6,29.9
"BRA_MS_Ponta.Pora.868570_INMET","MS","Ponta Pora",-22.54,-55.73,650,86717,3,21.29077626,25588,4130,180.7,237.5
"BRA_MS_Porto.Murtinho.AP.868330_INMET","MS","Porto Murtinho",-21.7,-57.88,85,16514,5,25.43723744,50409,5637.1,1142.3,165.1
"BRA_MS_Rio.Brilhante.868360_INMET","MS","Rio Brilhante",-21.78,-54.53,329,34776,3,23.28892694,37469,4850.9,368.7,80.2
"BRA_MS_Sete.Quedas.868950_INMET","MS","Sete Quedas",-23.97,-55.02,402,10832,3,22.33676941,30578,4505.6,295.4,165.3
"BRA_MS_Sidrolandia.868090_INMET","MS","Sidrolandia",-20.98,-54.97,464,51355,5,23.3403653,40425,4874.2,378.9,116.9
"BRA_MS_Tres.Lagoas.AP.868130_INMET","MS","Tres Lagoas",-20.75,-51.68,313,113619,6,24.35038813,37437,5237.9,529.3,23.7
"BRA_MT_Agua.Boa.866860_INMET","MT","Agua Boa",-14.05,-52.16,432,23551,6,24.94936073,52848,5456.5,431.2,0
"BRA_MT_Alto.Taquari.867500_INMET","MT","Alto Taquari",-17.82,-53.29,875,9674,6,22.33688356,27221,4503,93.8,17.4
"BRA_MT_Apiacas.819760_INMET","MT","Apiacas",-9.54,-57.45,220,9400,8,25.6527968,63901,5713.3,620.1,0
"BRA_MT_Campo.Novo.do.Parecis.866620_INMET","MT","Campo Novo do Parecis",-13.68,-57.89,570,31985,5,24.08106164,41660,5139.6,257.7,9.8
"BRA_MT_Campo.Verde.867070_INMET","MT","Campo Verde",-15.55,-55.17,749,37989,6,23.03643836,34140,4758.3,157.9,18.9
"BRA_MT_Carlinda.819780_INMET","MT","Carlinda",-9.97,-55.83,300,10364,8,25.495879,61777,5656,577.9,0
"BRA_MT_Comodoro.866610_INMET","MT","Comodoro",-13.66,-59.79,591,19536,5,22.42945205,44105,4536.8,33.8,27.6
"BRA_MT_Confresa.866060_INMET","MT","Confresa",-10.65,-51.57,237,28339,7,26.1360274,63396,5889.7,785.6,0
"BRA_MT_Cotriguacu.829270_INMET","MT","Cotriguacu",-9.86,-58.41,261,17716,8,24.623379,59436,5337.5,308.8,0
"BRA_MT_Cuiaba.867050_INMET","MT","Cuiaba",-15.62,-56,151,580489,7,26.26649543,59551,5937.3,1002.5,13.7
"BRA_MT_Gaucha.do.Norte.866660_INMET","MT","Gaucha do Norte",-13.18,-53.26,379,7036,6,25.2183105,54812,5554.7,488,0
"BRA_MT_Guaranta.do.Norte.819790_INMET","MT","Guaranta do Norte",-9.79,-54.91,320,33929,8,25.04244292,60587,5490.5,415.3,0
"BRA_MT_Guiratinga.867290_INMET","MT","Guiratinga",-16.34,-53.77,526,14496,6,24.69503425,40880,5363.7,450.7,1.4
"BRA_MT_Itiquira.867480_INMET","MT","Itiquira",-17.18,-54.5,585,12472,6,24.02300228,44370,5118.4,352.6,35
"BRA_MT_Juara.866250_INMET","MT","Juara",-11.26,-57.52,260,33610,8,25.8822032,60315,5797,751.1,4.5
"BRA_MT_Juina.866240_INMET","MT","Juina",-11.38,-58.74,200,39688,8,24.84584475,59355,5418.7,380.4,1.1
"BRA_MT_Nova.Maringa.866630_INMET","MT","Nova Maringa",-13.04,-57.09,353,7764,5,26.33195205,67402,5961.2,916.5,2.1
"BRA_MT_Novo.Mundo.866430_INMET","MT","Novo Mundo",-12.52,-58.23,431,8364,8,24.77228311,48489,5391.9,426.7,0.2
"BRA_MT_Paranatinga.866840_INMET","MT","Paranatinga",-14.43,-54.05,474,21014,6,24.45489726,42882,5276,345,0
"BRA_MT_Pontes.de.Lacerda.867020_INMET","MT","Pontes e Lacerda",-15.25,-59.35,256,43235,6,25.33745434,57566,5598.2,662.2,14.9
"BRA_MT_Porto.Estrela.867040_INMET","MT","Porto Estrela",-15.32,-57.23,145,3158,8,25.39585616,57235,5619.5,701.2,6.9
"BRA_MT_Querencia.866470_INMET","MT","Querencia",-12.63,-52.22,382,15597,7,25.02890411,56753,5485.6,420.7,0
"BRA_MT_Rondonopolis.867280_INMET","MT","Rondonopolis",-16.47,-54.64,284,215320,6,25.49202055,51572,5654.6,686.3,8.9
"BRA_MT_Salto.do.Ceu.867030_INMET","MT","Salto do Ceu",-15.12,-58.13,303,3502,5,24.56363014,54630,5315.7,451.7,18.2
"BRA_MT_Santo.Antonio.do.Leste.866850_INMET","MT","Santo Antonio do Leste",-14.93,-53.88,648,4591,6,23.68252283,41790,4994.1,189.8,4.2
"BRA_MT_Sao.Felix.do.Araguaia.866280_INMET","MT","Sao Felix do Araguaia",-11.62,-50.73,218,11125,7,26.22321918,52803,5921.5,816.5,0
"BRA_MT_Sao.Jose.do.Rio.Claro.866640_INMET","MT","Sao Jose do Rio Claro",-13.45,-56.72,350,19052,5,24.77842466,55233,5394.1,445.2,3.6
"BRA_MT_Sinop.866260_INMET","MT","Sinop",-11.86,-55.5,371,129916,8,25.07813927,49712,5503.5,481,0
"BRA_MT_Sorriso.866450_INMET","MT","Sorriso",-12.55,-55.71,380,80298,5,25.36191781,52533,5607.1,552.2,0
"BRA_MT_Tangara.da.Serra.866820_INMET","MT","Tangara da Serra",-14.62,-57.49,322,94289,7,24.6294863,48100,5339.8,475.8,34.4
"BRA_MT_Vila.Bela.da.Santissima.Trindade.867010_INMET","MT","Vila Bela da Santissima Trindade",-15.01,-59.95,222,15274,5,24.8040411,54607,5403.5,579.4,16.7
"BRA_PA_Belem.816800_INMET","PA","Belem",-1.46,-48.5,24,1439561,8,27.15961187,81393,6263.3,1153.3,0
"BRA_PA_Braganca.816850_INMET","PA","Braganca",-1.05,-46.78,33,121528,8,26.47391553,76046,6013,905.7,0
"BRA_PA_Cameta.817100_INMET","PA","Cameta",-2.25,-49.49,22,130868,8,27.21635845,79480,6284,1174.4,0
"BRA_PA_Castanhal.816820_INMET","PA","Castanhal",-1.3,-47.92,65,189784,8,26.20378995,75326,5914.4,804.4,0
"BRA_PA_Conceicao.do.Araguaia.819400_INMET","PA","Conceicao do Araguaia",-6.28,-49.27,180,46395,8,26.76690639,66111,6119.9,1013.8,0
"BRA_PA_Itaituba.817780_INMET","PA","Itaituba",-4.28,-55.99,13,98446,8,26.86221461,77772,6154.7,1044.7,0
"BRA_PA_Maraba.825620_INMET","PA","Maraba",-5.37,-49.12,84,262085,8,26.49401826,73777,6020.3,914.1,0
"BRA_PA_Novo.Repartimento.817840_INMET","PA","Novo Repartimento",-4.26,-49.93,113,70835,8,26.31906393,72854,5956.5,849.3,0
"BRA_PA_Pacaja.817420_INMET","PA","Pacaja",-3.84,-50.64,108,44778,8,26.09781963,71509,5875.7,766.9,0
"BRA_PA_Paragominas.817450_INMET","PA","Paragominas",-3.01,-47.34,101,107010,8,26.36994292,69758,5975,867.5,0
"BRA_PA_Placas.817370_INMET","PA","Placas",-3.86,-54.22,96,28533,8,26.26666667,72425,5937.3,829.7,0
"BRA_PA_Rondon.do.Para.817860_INMET","PA","Rondon do Para",-4.78,-48.07,221,49977,8,26.33827626,64822,5963.5,855.6,0
"BRA_PA_Salinopolis.816600_INMET","PA","Salinopolis",-0.62,-47.35,20,39078,8,27.16197489,79450,6264.1,1154.6,0
"BRA_PA_Santana.do.Araguaia.819820_INMET","PA","Santana do Araguaia",-9.34,-50.33,168,67033,8,26.33135845,65808,5960.9,857,0
"BRA_PA_Serra.dos.Carajas.818600_INMET","PA","Maraba",-6.08,-50.14,719,262085,8,23.66492009,51709,4987.7,178,0
"BRA_PA_Soure.821410_INMET","PA","Soure",-0.81,-48.52,11,24286,8,28.07552511,84723,6597.6,1487.6,0
"BRA_PA_Tome.Acu.817110_INMET","PA","Tome Acu",-2.59,-48.36,38,60456,8,25.9977968,71173,5839.2,731.7,0
"BRA_PA_Tucurui.817430_INMET","PA","Tucurui",-3.82,-49.68,148,107189,8,27.36156393,78681,6337,1227,0
"BRA_PB_Areia.818770_INMET","PB","Areia",-6.96,-35.69,575,23110,8,22.47221461,49588,4552.4,6.7,0
"BRA_PB_Cabaceiras.819150_INMET","PB","Cabaceiras",-7.48,-36.29,436,5449,8,25.37600457,51868,5612.2,585.1,0
"BRA_PB_Camaratuba.818780_INMET","PB","Mataraca",-6.61,-35.13,136,8219,8,24.85134703,63149,5420.7,378.2,0
"BRA_PB_Campina.Grande.819160_INMET","PB","Campina Grande",-7.23,-35.88,548,405072,8,23.62342466,48331,4972.6,126.5,0
"BRA_PB_Joao.Pessoa.819180_INMET","PB","Joao Pessoa",-7.11,-34.86,44,791438,8,26.01545662,67669,5845.6,751.4,0
"BRA_PB_Monteiro.819140_INMET","PB","Monteiro",-7.89,-37.12,604,32774,6,24.2397032,39734,5197.5,335.9,0
"BRA_PB_Patos.819130_INMET","PB","Patos",-7.02,-37.28,249,106314,7,27.24381279,54248,6294,1184.8,0
"BRA_PB_Sao.Goncalo.817740_INMET","PB","Sousa",-6.84,-38.31,234,68822,7,26.82941781,56448,6142.7,1041.4,0
"BRA_PE_Arcoverde.819530_INMET","PE","Arcoverde",-8.42,-37.05,681,72625,7,23.58666667,34332,4959.1,237.9,0
"BRA_PE_Cabrobo.828860_INMET","PE","Cabrobo",-8.5,-39.31,342,33247,7,26.78030822,51343,6124.8,1029.4,0
"BRA_PE_Caruaru.828950_INMET","PE","Caruaru",-8.24,-35.99,550,347088,8,23.33968037,43168,4869,113.4,0
"BRA_PE_Floresta.819770_INMET","PE","Floresta",-8.61,-38.59,329,31809,7,26.60287671,54577,6060,975.4,0
"BRA_PE_Garanhuns.819550_INMET","PE","Garanhuns",-8.89,-36.49,823,136949,5,21.03924658,30681,4029.3,7.1,5.7
"BRA_PE_Ibimirim.819540_INMET","PE","Ibimirim",-8.51,-37.71,448,28604,8,25.59972603,45567,5693.9,729.8,0
"BRA_PE_Palmares.819570_INMET","PE","Palmares",-8.67,-35.57,180,62300,8,25.0530137,60854,5494.4,469.3,0
"BRA_PE_Petrolina.819910_INMET","PE","Petrolina",-9.39,-40.51,370,331951,7,26.91041096,46573,6172.3,1069.6,0
"BRA_PE_Recife.819580_INMET","PE","Recife",-8.05,-34.88,10,1617183,8,25.75100457,63550,5749.1,660.9,0
"BRA_PE_Serra.Talhada.819120_INMET","PE","Serra Talhada",-7.95,-38.29,461,84352,6,25.26196347,44000,5570.6,590.3,0
"BRA_PE_Surubim.819170_INMET","PE","Surubim",-7.84,-35.79,418,63166,8,24.21863014,51945,5189.8,282.9,0
"BRA_PI_Alvorada.do.Gurgueia.818460_INMET","PI","Alvorada do Gurgueia",-8.44,-43.86,270,5278,7,26.30535388,56968,5951.5,860.7,0
"BRA_PI_Bom.Jesus.do.Piaui.829750_INMET","PI","Bom Jesus",-9.07,-44.36,331,24327,7,26.39155251,54218,5982.9,892.3,0
"BRA_PI_Caracol.819880_INMET","PI","Caracol",-9.29,-43.32,100,10641,7,24.69560502,38258,5363.9,462.5,0
"BRA_PI_Castelo.do.Piaui.818290_INMET","PI","Castelo do Piaui",-5.35,-41.51,286,18160,7,27.32623288,58176,6324.1,1217.5,0
"BRA_PI_Esperantina.817510_INMET","PI","Esperantina",-3.9,-42.26,65,38874,8,26.98109589,69254,6198.1,1088.2,0
"BRA_PI_Floriano.818680_INMET","PI","Floriano",-6.77,-43.02,123,58803,7,27.58409817,62102,6418.2,1308.9,0
"BRA_PI_Gilbues.819860_INMET","PI","Gilbues",-9.87,-45.35,425,10514,7,26.49365297,49846,6020.2,922.5,0
"BRA_PI_Oeiras.818690_INMET","PI","Oeiras",-6.97,-42.15,156,36329,7,26.79577626,58489,6130.5,1024.9,0
"BRA_PI_Parnaiba.817520_INMET","PI","Parnaiba",-2.9,-41.78,80,149803,8,27.34453196,72895,6330.8,1220.9,0
"BRA_PI_Paulistana.828820_INMET","PI","Paulistana",-8.14,-41.15,374,20168,7,27.58108447,46271,6417.1,1310.4,0
"BRA_PI_Picos.827910_INMET","PI","Picos",-7.07,-41.4,233,76544,7,28.21813927,53316,6649.6,1540.3,0
"BRA_PI_Piripiri.817940_INMET","PI","Piripiri",-4.27,-41.78,161,62650,7,27.90363014,63107,6534.8,1425.1,0
"BRA_PI_Sao.Joao.do.Piaui.818480_INMET","PI","Sao Joao do Piaui",-8.36,-42.25,235,20146,7,28.24011416,49850,6657.6,1549.7,0
"BRA_PI_Sao.Pedro.do.Piaui.818280_INMET","PI","Sao Pedro do Piaui",-5.91,-42.72,287,13994,7,26.23461187,61508,5925.6,823.8,0
"BRA_PI_Sao.Raimundo.Nonato.819890_INMET","PI","Sao Raimundo Nonato",-9.03,-42.7,402,33802,7,27.03424658,48108,6217.5,1109.7,0
"BRA_PI_Teresina.818320_INMET","PI","Teresina",-5.09,-42.8,74,844245,7,27.6931621,66092,6458,1348.3,0
